text,label
The Barclays Way How we do business Next page Nigel Higgins Chairman The Barclays Way...,Non-Environmental
In my foreword to The Barclays Way last year I said that our company sits at the intersection of some of the most urgent challenges facing societies today.,Non-Environmental
When I wrote those words  I did not imagine the scale of the role our institution would have in helping our colleagues  our customers and clients  and the communities in which we live and work  to navigate the huge challenges arising from the COVID-19 Pandemic.,Non-Environmental
Seeing the actions of colleagues through this extraordinary period  it is clear to me that the principles of the Barclays Way  our code of conduct  which sets the standards of behaviour we should all aspire to in our professional lives  truly resonate across our organisation.,Non-Environmental
You have demonstrated the best of Barclays  and I thank you for your commitment.,Non-Environmental
In challenging times it is more important than ever that we conduct ourselves in as exemplary a fashion as possible.,Non-Environmental
We wont get everything right  at least not first time  but I know that we are confronting unprecedented challenges and facilitating previously unimaginable levels of Government support through new schemes.,Non-Environmental
Our stakeholders rightly expect that we will do all we can to support society and the economy  and you should all be proud of the way that you and the organisation have risen to the challenge.,Non-Environmental
In that respect  I hope you agree that the Barclays Way is a big help here  its standards and its spirit helping make the right decisions every day.,Non-Environmental
We will need to learn from this challenging time  it may not be the last crisis and we would love your feedback on what we can do better for the next.,Non-Environmental
Most of you have been working from home.,Non-Environmental
That has gone really well but Im sure it has drawbacks  perhaps in productivity  certainly in the loss of time together.,Non-Environmental
We all need to think together about this and we would welcome everyones thoughts.,Non-Environmental
In the meantime  thank you for your continuing support.,Non-Environmental
The Barclays Way... Jes Staley Group Chief Executive Officer The Barclays Way  our code of conduct  is a source of support for all of us in our day-to-day activities  and in all aspects of our working lives.,Non-Environmental
That is the case whether were interacting with other Barclays colleagues  with our customers and clients  with governments and regulators  business partners  suppliers  competitors  or the societies and communities in which we live and work.,Non-Environmental
It is based on our Values of Respect  Integrity  Service  Excellence  and Stewardship and our Mindset  Empower  Challenge and Drive  and helps us to think about how to apply the right behaviours in everything that we do.,Non-Environmental
It ensures that we sustain a strong ethical and inclusive culture at Barclays  in which it is easy for us to make the right decisions in any given situation.,Non-Environmental
This is essential always  but even more so during challenging times such as we have experienced over the last few months.,Non-Environmental
While this document is comprehensive  of course it cant cover every scenario that we might face at work.,Non-Environmental
So we also always need to try and exercise our own good judgement  using the principles  standards  and policies set out in The Barclays Way as a guide.,Non-Environmental
Thank you for your commitment to Barclays during these extraordinary times.,Non-Environmental
The Barclays Way... What this means for you Our Purpose This code of conduct outlines the Purpose  Values and Mindset which govern our way of working across our business globally.,Non-Environmental
Our Purpose is the reason our company exists; the societal need we fulfil.,Environmental
Our Purpose is: Finance is the oxygen of the economy.,Non-Environmental
Acting transparently and with expertise  we deploy finance responsibly to support people and businesses.,Non-Environmental
We have the capability and capital  the operational resilience and the commitment  to make a real and lasting difference to the economic lives of customers and communities.,Non-Environmental
This is as true today as it was when our bank was founded over 330 years ago Acting with empathy and integrity  we aim to be a leader in the profession of banking and to engender trust amongst our key stakeholders.,Non-Environmental
We understand the power of building a supportive and inclusive culture for everybody  knowing that we make a bigger difference when we pull together as one team We operate with energy and imagination  championing innovation and sustainability  to make a positive and enduring difference  to take pride in leaving things better than we found them.,Non-Environmental
New ideas and technologies can help customers and communities to unlock opportunities Our success is judged not only by commercial performance  but also by our contribution to society  and how we act responsibly for the common good and the long term  because these outcomes are mutually dependent.,Non-Environmental
We are at our best when our clients  customers  communities  and colleagues all progress.,Non-Environmental
Barclays takes the Values  Mindset and associated behaviours  and points set out in the Barclays Way  very seriously  Its every colleagues responsibility to be aware of and understand this code of conduct and the policies which apply to our roles  Colleagues who are unsure of what course of action to take should check local policy  or with their line manager  or a senior manager.,Non-Environmental
It is expected that  when unsure of a matter  colleagues will err on the side of caution  Colleagues are required to undertake annual training  which includes an assessment to confirm understanding of the Barclays Way  Any failure to act in accordance with the Values  Mindset and associated behaviours or breaches of this code of conduct may result in disciplinary action  up to and including dismissal  All colleagues performance is measured against what they deliver (their objectives) and how they achieve this (their demonstration of our Values and Mindset).,Non-Environmental
What this means for you This code of conduct outlines the Purpose  Values and Mindset that govern our way of working across our business globally.,Non-Environmental
It constitutes a reference point covering all aspects of colleagues working relationships  and provides guidance on working with colleagues  customers and clients  governments and regulators  business partners  suppliers  competitors and the broader community.,Non-Environmental
The behavioural standard set by the Barclays Way applies to every Barclays colleague  in every country  and to colleagues in the subsidiaries in which we have a controlling interest.,Non-Environmental
Other subsidiaries in which Barclays has a minority interest  and joint ventures in which we participate  are encouraged proactively to adopt an equivalent approach  as are any other entities or individuals contracted by Barclays to do work on the banks behalf.,Non-Environmental
The objective is to define the way we think  work and act at Barclays to ensure we deliver against our Purpose.,Non-Environmental
The Barclays Way... At a glance A summary of our Purpose  Values and Mindset Find out more about our Mindset behaviours.,Non-Environmental
The power of who we are is greatest when we are bound together by a common Purpose  shared Values and a single Mindset Finance is the oxygen of the economy.,Non-Environmental
Acting transparently and with expertise  we deploy finance responsibly to support people and businesses.,Non-Environmental
we have the capability and capital  the operational resilience and the commitment  to make a real and lasting difference to the economic lives of customers and communities.,Non-Environmental
This is as true today as it was when our bank was founded over 330 years ago.,Non-Environmental
Acting with empathy and integrity  we aim to be a leader in the profession of banking and to engender trust amongst our key stakeholders.,Non-Environmental
We understand the power of building a supportive and inclusive culture for everybody  knowing that we make a bigger difference when we pull together as one team.,Non-Environmental
